Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,Year,Pref
A21,0.12507589556769885,0.1979405034324943,0.2925445705024311,0.35834333733493406,0.0,0.2545179612008556,0.0753384581240038,0.0,0.05830589129888209,0.9603658536585366,0.14086956521739122,2018,0.24123601229286368
A22,0.21615057680631455,0.27917620137299776,0.5380875202593193,0.5762304921968788,0.9196463119276573,0.6541270192520469,1.0,0.36508151621515406,1.0,1.0,0.2799999999999999,2018,0.655461759073748
A23,0.06496660595021253,0.08695652173913045,0.320097244732577,0.1350540216086435,0.108084094068416,0.11573356937375526,0.05370942033371671,0.20752415671712587,0.08281975335896634,0.871951219512195,0.2799999999999999,2018,0.23590306995069096
A24,0.03217972070431088,0.04919908466819222,0.06564019448946515,0.3271308523409365,0.3268748477335589,0.23806889429814862,0.44876218146601293,0.4711271327704671,0.033534472714339146,0.4359756097560976,0.28869565217391296,2018,0.28809677695196034
A25,0.0,0.0,0.1620745542949757,0.177671068427371,0.23618853809885498,0.13867374787932438,0.34390573613380954,0.26120424453509333,0.11227624776937653,0.7347560975609756,0.23130434782608694,2018,0.2570747471835038
A26,0.07468123861566485,0.09496567505720827,0.14505672609400325,0.17286914765906367,0.06451797818828013,0.16249907796710186,0.13917640175130647,0.06015801813278402,0.05189150738022089,0.8810975609756098,0.35826086956521735,2018,0.22462874863154805
A27,0.09350333940497876,0.1350114416475973,0.2625607779578606,0.23109243697478996,0.20040413304862495,0.10688205355167076,0.2482093497165224,0.35475477374676434,0.07100281472487444,0.9268292682926829,0.18260869565217394,2018,0.296643083835019
A28,0.06010928961748636,0.07322654462242566,0.1012965964343598,0.38355342136854753,0.1379928058584961,0.16069189348675963,0.2777576014365555,0.13519630297198768,0.0366834078407565,0.75,0.32869565217391294,2018,0.2535523329485471
A29,0.18032786885245902,0.22082379862700235,0.4351701782820097,0.3805522208883554,0.6667048825577897,1.0,0.5904101850170491,0.7743837157299869,0.10496654831331138,0.9573170731707317,0.5599999999999998,2018,0.5820065061333758
A30,0.060716454159077116,0.09382151029748284,0.3055105348460292,0.5660264105642258,0.05365511113658837,0.14501733421848492,0.23831285434699276,0.01875618317093333,0.09507208516535741,0.8628048780487805,0.32869565217391294,2018,0.27499067953242456
